date_time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
2022-10-01 00:00:00+00:00,61.2,42.1,1123.0,50.8,11.5,4.0,73.65249
2022-10-01 01:00:00+00:00,36.9,24.9,906.0,43.05,11.25,14.0,76.471634
2022-10-01 02:00:00+00:00,28.0,18.5,598.0,31.95,10.9,27.0,77.59752
2022-10-01 03:00:00+00:00,24.2,15.9,281.0,19.7,10.5,48.0,78.182625
2022-10-01 04:00:00+00:00,26.0,17.1,213.0,14.25,10.5,67.0,78.430855
2022-10-01 05:00:00+00:00,32.8,21.7,225.0,10.7,10.6,88.0,78.62589
2022-10-01 06:00:00+00:00,33.5,22.0,269.0,11.8,10.35,103.0,79.15781
2022-10-01 07:00:00+00:00,32.5,21.1,289.0,20.1,9.5,96.0,79.698586
2022-10-01 08:00:00+00:00,32.7,21.4,321.0,32.9,8.25,79.0,79.991135
2022-10-01 09:00:00+00:00,39.0,26.0,378.0,47.85,6.75,54.0,80.37234
2022-10-01 10:00:00+00:00,37.8,25.4,437.0,54.25,5.75,38.0,81.21454
2022-10-01 11:00:00+00:00,34.2,23.3,506.0,58.65,4.8,21.0,82.109924
2022-10-01 12:00:00+00:00,47.0,32.2,798.0,75.85,3.65,2.0,82.71277
2022-10-01 13:00:00+00:00,58.9,40.6,1001.0,75.95,3.7,1.0,83.510635
2022-10-01 14:00:00+00:00,67.5,46.6,1289.0,76.1,3.8,1.0,85.124115
2022-10-01 15:00:00+00:00,75.2,52.0,1598.0,76.15,4.0,0.0,86.976944
2022-10-01 16:00:00+00:00,80.8,56.0,1698.0,76.5,4.25,0.0,89.19326
2022-10-01 17:00:00+00:00,84.8,58.7,1734.0,76.85,4.6,0.0,91.666664
2022-10-01 18:00:00+00:00,88.9,61.7,1705.0,75.3,4.8,0.0,94.37056
2022-10-01 19:00:00+00:00,96.2,66.8,1608.0,71.25,4.6,0.0,97.26951
2022-10-01 20:00:00+00:00,87.8,61.0,1456.0,65.55,4.2,0.0,100.5
2022-10-01 21:00:00+00:00,71.7,49.7,1273.0,58.65,3.75,0.0,103.31251
2022-10-01 22:00:00+00:00,59.3,41.2,1203.0,55.25,3.35,0.0,104.645836
2022-10-01 23:00:00+00:00,56.1,39.0,1158.0,52.55,3.0,0.0,104.447914
2022-10-02 00:00:00+00:00,69.4,48.2,1240.0,53.8,4.4,1.0,103.427086
2022-10-02 01:00:00+00:00,61.9,43.0,1084.0,52.1,7.9,4.0,104.06251
2022-10-02 02:00:00+00:00,50.4,34.8,861.0,49.6,12.95,9.0,105.94792
2022-10-02 03:00:00+00:00,40.7,27.9,615.0,45.35,19.1,22.0,107.645836
2022-10-02 04:00:00+00:00,42.3,28.8,532.0,40.8,22.85,41.0,108.895836
2022-10-02 05:00:00+00:00,47.1,32.1,495.0,35.5,26.2,66.0,110.1146
2022-10-02 06:00:00+00:00,49.1,33.2,461.0,30.5,27.8,91.0,111.19792
2022-10-02 07:00:00+00:00,46.0,30.9,418.0,28.95,25.25,99.0,112.36459
